Solution Name,Link,Summary,Who,Why,How,What,Category,Tags
Slanty: The Portable Slant Board,https://tomglobal.org/project?id=65cc0c8d9c60ec10f9180c0f,"Portable, 3-D printed slanting adaptation for a standard hardboard clip board.","People with Filum Disease have difficulty controlling eye movements and processing shapes and forms, which makes reading difficult. Looking down with the neck bent can also cause pain and vital sign issues.",Slant boards are used to help with reading because of how it stabilizes the letters' shapes to be easier to process. They also bring papers to a higher level to prevent bending the neck. Most are not portable which makes it hard to transport where needed.,"It is smaller, lighter, and more transportable which allows it to be brought to all places where reading support is needed while protecting the board. It also will not take up as much space and removes glare issues present in other slant boards.","This is a 3D printed attachment that snaps onto any clipboard, turning it into a slant board at the recommended 25 degree angle. It also comes apart to fit in a quart size bag which makes it light, compact, and easy to transport in a backpack. Tools needed FDM Printer",Daily Living,
U-Chest Support,https://tomglobal.org/project?id=661c105ee9cb5f00141d098f,This product is an adjustable postural support system that can be attached to various seating devices.,"Designed initially for our Toddler Mobility Trainer and Portable Modular Toilet Seat, this product aims to provide additional postural support for any child who may need it.","The public market lacks affordable, supportive and comfortable chest supports for children.",This solution has a central U-chest plate and four customizable straps with built in quick release buckles to provide safe and comfortable support. Tools Needed Laser cutting machine Scissors Measuring tape Pen/marker Sewing machine Needle + sewing thread Lighter Pins Bill of Materials Please see the detailed BOM and printing models in the downloadable product file. Estimated Time to Make 15 minutes of laser cutting time 1 hour of assembling + sewing Technical Requirements Laser Cutting Fabric Laser Cutting Other Textile Hobby Sewing Machine,This product is an adjustable postural support system that can be attached to various seating devices.,Daily Living,condition:autism; condition:CP; assistivetool:wheelchair; technology:sawing
Pill Pack Opener,https://tomglobal.org/project?id=64afc603af3325217568ac77,The Pill Pack Opener is a 3D printed tool with  that can be used to press pills out of blister packages with a light push force.,"This tool is designed for people who have difficulty with fine motor skills (i.e. pinching, gripping, squeezing) or with hand coordination.",People who have challenges with fine motor skills and/or hand-eye coordination can struggle to push pills out of blister packs because it requires a very precise application of force.,"This solution helps users to push pills out of the packaging with a light force. Rather than needing to push on the packaging with their fingertips, users can simply enclose the packaging in the product and use a slight force to extract the pill. Tools Needed 3D Printer Bill of Materials Please see the detailed BOM and printing models in the downloadable product file. Estimated Time to Make 2 hrs of print time",The Blister Pack Opener is a 3D printed tool with an extrusion that can be used to press pills out of blister packages with a light push force.,Daily Living; Therapy,
Utensil Holder End Unit for TOM Arm Prosthesis,https://tomglobal.org/project?id=654bb06dbcee673bde4ae9a8,This is an adjustable kitchen utensil holder attachment that connects to the TOM Parametric Arm Prosthesis enabling an amputee to use a fork or other utensils to eat.,"This project was designed and developed with two Need Knowers, Ester and Shula. Both women are below-the-elbow amputees who hoped to achieve greater independence in the kitchen.",An arm amputation poses multiple challenges to the amputee’s ability to perform basic daily tasks such as using both hands to eat using utensils.,The Utensil Holder End Unit combines 3D printed and off the shelf parts to create an attachment to the TOM Parametric Arm Prosthesis that enables the use of a fork or other utensils for eating.,This is an adjustable kitchen utensil holder attachment that connects to the TOM Parametric Arm Prosthesis enabling an amputee to use a fork or other utensils to eat.,Daily Living,condition:amputee; bodypart:hand; assistivetool:prosthesis; activity:eat
Typing Splint,https://tomglobal.org/project?id=69bdab6812b3ce00124669c5,"The Typing Splint is a palm-sized, 3D-printed hand splint that seamlessly integrates a TPU tip to allow the user to easily type, press buttons, or complete other fine motor tasks.",Intended users of this Typing Splint are individuals with limited finger dexterity. This could lead to difficulty with fine motor tasks such as typing or pushing buttons.,The Shepherd Center strives to increase patients' independence when performing activities of daily living such as fine motor tasks like typing or pushing buttons.,The Typing Splint limits the need for fine finger movement by using a touch screen compatible rubber-tipped stylus attached to a hand splint.,"The Typing Splint is a palm-sized, 3D-printed hand splint that seamlessly integrates a TPU tip to allow the user to easily type on a touchscreen, press buttons, or complete other fine motor tasks. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer FDM Printer",Daily Living,
Nail Clipper - Makers Making Change,https://tomglobal.org/project?id=62d4fcb0aafd87662b35a9b8,"This 3D-printed nail clipper assistive device was designed by Makers Making Change. It is designed to allow the user to cut their own nails using the palm of their hand or forearm, making it easier for those who might have trouble using a nail clipper on its own.
Check out the Makers Making Change website to view more of their amazing products at https://makersmakingchange.com/assistive-devices/",Our project is designed for people with limited finger mobility who are looking to maintain their personal hygiene independently.,"Many people have limited finger or hand dexterity. Those people may suffer from a lack of grip strength, coordination, or fine motor skills which can prevent them from completing everyday tasks on their own.","Our device allows one to cut their own finger or toenails without the need of precise finger movements. Now, people with limited finger mobility can use their nail clippers!",A nail clipper assistive device that allows the user to use the palm of their hand or forearm to push down on the clipping mechanism. Tools Needed: 3D printer Bill of materials: Please see BOM and printing models in the downloadable product file. Estimated time to make: 2 hours of 3D-printing time,Daily Living,
Tweezer Grip (TweeziFit),https://tomglobal.org/project?id=6878a924d4eca1001430b28a,"The Tweezer Grip / Tweezifit is designed for users with limited grip or motor control, including rehab patients, elderly individuals, therapists, and professionals who use tweezers frequently. It’s a soft 3D-printed TPU adapter that attaches to standard tweezers, guiding finger placement and widening the pinch angle for improved stability and comfort. By enhancing grip and reducing strain, it enables safer, more precise, and independent use in daily care, rehabilitation, or repetitive professional work.","The Tweezer Grip supports users with limited grip or motor control, including rehab patients, elderly individuals, therapists, and professionals like estheticians who use tweezers often and seek comfort, precision, and reduced strain.",Individuals with limited grip or fine motor skills struggle to use tweezers safely and accurately.,"The Tweezer Grip improves grip stability and finger alignment, allowing users with limited motor control to hold and operate tweezers comfortably. Its ergonomic design reduces strain and supports safe, independent use in both rehab and daily tasks.","The Tweezer Grip is a soft TPU 3d printing adapter that attaches to standard tweezers. It guides finger placement or widens the pinch angle, making tweezer use easier, more stable, and less straining for users with grip or motor challenges. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer FDM Printer",Daily Living; Therapy,
Cup holder for crutches,https://tomglobal.org/project?id=66bdc7441eafbd00123990a2,A gyro system that easily connects to a crutch to carry and stabilize beverages on-the-go.,Any person who uses crutches permanently or temporarily and wants to carry drinking glasses from one place to another.,People who use crutches cannot carry a drink on their own because their hands are in use!,The solution will allow people who use crutches to move cups from one place to another without spilling the liquid inside.,A gyro system that easily connects to a crutch to carry and stabilize beverages on-the-go. Tools needed Prusa slicer Pliers Cutter Hammer FDM Printer,Daily Living,assistivetool:crutches
EZ-Grip Utensil Grip,https://tomglobal.org/project?id=5cb7015eb506a2297168b070,3D-printed adaptation that allows people with motor problems in their fingers and wrists to be able to hold flatware and utensils without external help. This TOM Product was developed by TOM:Milbat and updated by TOM NYC Studio.,,,,,Daily Living,technology:DIY; priority; condition:paralysis; bodypart:hand; technology:3D Printing; bodypart:fingers; activity:eat
Nail Clipper Assistant,https://tomglobal.org/project?id=6182e2f94f10776dbe488605,"The Nail Clipper Assistant is a 3D printed tool that helps people cut their own nails with rough hand or arm movements.
This product is adapted from a Makers Making Change design. - https://makersmakingchange.com/project/nail-clipper-holder/#reviews","The Nail Clipper Assistant is helpful for many individuals such as those with a lack of grip strength, coordination, or fine motor skills.","Many individuals struggle with the precise and consecutive motions involved with clipping one’s own nails, so this tool provides a cheap, simple solution to this problem.","This tool has a compartment that securely holds a nail clipper, and a wide-area lever and rod-shaped attachment option that convert the standard “squeezing” action required of nail clippers to a “push” or “pull” action. Tools Needed: - 3D printer - Screwdriver Bill of materials: Please see BOM and printing models in the downloadable product file. Estimated time to make: - 1 hour of printing time - 30 minutes for assembly Technical requirements: - 3D Printing",The Nail Clipper Assistant is a 3D printed tool that helps people cut their own nails with rough hand or arm movements.,Daily Living,condition:amputee; bodypart:hand; condition:hygiene; technology:3D Printing; bodypart:nails; condition:motor problems
3DTMT: 3D-Printed Toddler Mobility Trainer,https://tomglobal.org/project?id=692e2cf350c53a00132f2b35,"The 3D-Printed Toddler Mobility Trainer (3DTMT) is an affordable, open-source device that empowers young children with disabilities to explore their environment independently. Designed for indoor use, it fills the gap in early-age mobility options, especially for toddlers who lack the strength or coordination to crawl or walk and have limited access to age-appropriate wheelchairs. By enabling seated, arm-driven movement, the 3DTMT provides a practical, easily manufactured solution that promotes early mobility, engagement, and development.","The 3DTMT is an affordable, open-source solution designed to support independent mobility for young children in indoor environments.","Many toddlers and young children with disabilities lack the physical strength or coordination needed to crawl or walk independently-- even though they may be ready to explore and engage with their environment. Wheelchair options for this age group are rarely available, affordable, or covered by most insurance providers.","This product helps kids learn to move in a seated position using their arms and/or hands, providing increased mobility for those with limited lower limb strength.","An affordable and easily manufactured mobility trainer suitable for younger ages in indoor environments. Inspired— and informed by— the original TOM Toddler Mobility Trainer, this newly-designed model brings together the ease of 3D printing and the expertise of our partners, collaborators and Need-Knowers. A design collaboration between LINK PBC, Tikkun Olam Makers, and MakeGood. Tools needed FDM Printer Filament Dryer 13mm Socket Wrench Wrench Rubber Mallet Scissors Tools to remove filament (recommended) Putty Knife Tweezer Wire Cutters Pliers Sandpaper Cutting Mat",Fun/Leisure; Daily Living; Therapy,condition:motor problems; technology:3D Printing; condition:paralysis; assistivetool:wheelchair; condition:walking problems; age:kids
3DTMT Headrest,https://tomglobal.org/project?id=692f48d37f008a0012e76877,Adjustable and removable headrest installs on the back of the 3DTMT (3D-Printed Toddler Mobility Trainer) with a mounting bracket and a knob for adjusting the height.,Users of the 3DTMT who need additional head support.,Some children using the Toddler Mobility Trainer need some extra support for their head. The 3DTMT headrest is a 3D-printed accessory for the 3DTMT which installs using the existing channels on the back of the TMT.,Adjustable and removable headrest installs with a mounting bracket and a knob for adjusting the height.,A headrest attachment for the 3DTMT featuring a hardware-free installation and adjustable height options. Tools needed Rubber Hammar FDM Printer,Daily Living,
